"","spp.abb","AphiaID","AphiaID_acc","Species","Genus","Family","Order","Class","Phylum","Body_Size.value","MovementMethod-burrower","MovementMethod-crawler","MovementMethod-floater","MovementMethod-motile","MovementMethod-permanent_attachment","MovementMethod-sessile","MovementMethod-swimmer","MovementMethod-temporary_attachment","MovementMethod-tube-dwelling","Feeding_Method-browser","Feeding_Method-deposit_feeder","Feeding_Method-filter_feeder","Feeding_Method-grazer","Feeding_Method-predator","Feeding_Method-scavenger","Feeding_Method-suspension_feeder","Sociability-colonial","Sociability-gregarious","Sociability-solitary","Sociability-sometimes_gregarious","Lifespan","Migration-irregular/single_migration","Migration-non-migratory","Migration-regular","Habitat-demersal","Habitat-epifaunal","Habitat-infaunal","Diet-benthic_organisms","Diet-detritus","Diet-macroalgae","Diet-micro-organisms","Diet-omnivore","Diet-plankton","Diet-sediment_particles","Diet-suspended_particles/material","Reproductive_Frequency-annual","Reproductive_Frequency-biannual","Reproductive_Frequency-semelparous","Larval_Feeding_Strategy-lecithotrophic","Larval_Feeding_Strategy-planktotrophic","Reproductive_Period-episodic","Reproductive_Period-protracted","Developmental_Mechanism-benthic_larval_development","Developmental_Mechanism-direct_development","Developmental_Mechanism-fission","Developmental_Mechanism-larval_development","Developmental_Mechanism-oviparous","Developmental_Mechanism-pelagic_larval_development","Reproductive_Timing-1","Reproductive_Timing-2","Reproductive_Timing-3","Reproductive_Timing-4","Reproductive_Timing-5","Reproductive_Timing-6","Reproductive_Timing-7","Reproductive_Timing-8","Reproductive_Timing-9","Reproductive_Timing-10","Reproductive_Timing-11","Reproductive_Timing-12","Age_at_Maturity.value","Larval_Duration.value","Fecundity.value","Size_of_Eggs.value"
"Abietinaria abietina","Abta",117870,117870,"Abietinaria abietina","Abietinaria","Sertulariidae","Leptothecata","Hydrozoa","Cnidaria",2.37211591889699,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,NA,0,1,0,0,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,1,0,0,0,0,NA,NA,NA,NA
"Abra alba","Abra",141433,141433,"Abra alba","Abra","Semelidae","Veneroida","Bivalvia","Mollusca",-0.465690803734509,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,NA,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0179264284936194,-0.272446301278742,-0.656241840255676
"Abra nitida","Abrn",141435,141435,"Abra nitida","Abra","Semelidae","Veneroida","Bivalvia","Mollusca",-0.375071765532831,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,NA,NA,NA,NA,-0.576691811686248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abra prismatica","Abrp",141436,141436,"Abra prismatica","Abra","Semelidae","Veneroida","Bivalvia","Mollusca",-0.4771374190863,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abra tenuis","Abrt",141439,141439,"Abra tenuis","Abra","Semelidae","Veneroida","Bivalvia","Mollusca",-0.4771374190863,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,NA,-0.272471603660122,-0.11513960836387
"Acanthocardia echinata","Acne",138992,138992,"Acanthocardia echinata","Acanthocardia","Cardiidae","Veneroida","Bivalvia","Mollusca",-0.417996573102047,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.359727247470203,1,1,0,NA,NA,NA,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Actinauge richardi","Actr",100930,100930,"Actinauge richardi","Actinauge","Hormathiidae","Actiniaria","Anthozoa","Cnidaria",-0.341685804090108,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,NA,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adamsia carciniopados","Admc",100931,100931,"Adamsia carciniopados","Adamsia","Hormathiidae","Actiniaria","Anthozoa","Cnidaria",-0.0125956127261184,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,-0.18051451742775,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.292226045585151,NA,NA,NA
"Alcyonium digitatum","Alcd",125333,125333,"Alcyonium digitatum","Alcyonium","Alcyoniidae","Alcyonacea","Anthozoa","Cnidaria",1.41823130624775,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,NA,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,1,NA,-0.817003117784547,-0.247574060382591,2.31982043514926
"Ampelisca brevicornis","Ampb",101891,101891,"Ampelisca brevicornis","Ampelisca","Ampeliscidae","Amphipoda","Malacostraca","Arthropoda",-0.47809130369895,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,-0.648724047005975,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,0,1,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.50858571395108,NA,-0.272858730095229,NA
"Ampelisca diadema","Ampld",101896,101896,"Ampelisca diadema","Ampelisca","Ampeliscidae","Amphipoda","Malacostraca","Arthropoda",-0.479999072924248,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,-0.648724047005975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.272861766380995,NA
"Ampelisca spinipes","Ampls",101928,101928,"Ampelisca spinipes","Ampelisca","Ampeliscidae","Amphipoda","Malacostraca","Arthropoda",-0.475229649861002,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,-0.648724047005975,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,NA,NA,-0.272861766380995,NA
"Ampelisca tenuicornis","Ampt",101930,101930,"Ampelisca tenuicornis","Ampelisca","Ampeliscidae","Amphipoda","Malacostraca","Arthropoda",-0.481906842149547,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,NA,0,0,1,NA,NA,NA,1,1,0,0,0,0,0,0,0,1,0,NA,NA,0,1,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.272862272428623,NA
"Ampharete falcata","Amphrtf",129777,129777,"Ampharete falcata","Ampharete","Ampharetidae","Terebellida","Polychaeta","Annelida",-0.475229649861002,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,-0.468643458706658,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.789572296244495,NA,NA,NA
"Amphianthus dohrnii","Amphd",100936,100936,"Amphianthus dohrnii","Amphianthus","Hormathiidae","Actiniaria","Anthozoa","Cnidaria",-0.479999072924248,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3.60117783685792,0,1,0,0,0,1,0,0,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
