"","spp.abb","AphiaID","AphiaID_acc","Species","Genus","Family","Order","Class","Phylum","Body_Size.value","MovementMethod-burrower","MovementMethod-crawler","MovementMethod-floater","MovementMethod-motile","MovementMethod-permanent_attachment","MovementMethod-sessile","MovementMethod-swimmer","MovementMethod-temporary_attachment","MovementMethod-tube-dwelling","Feeding_Method-browser","Feeding_Method-deposit_feeder","Feeding_Method-filter_feeder","Feeding_Method-grazer","Feeding_Method-predator","Feeding_Method-scavenger","Feeding_Method-suspension_feeder","Sociability-colonial","Sociability-gregarious","Sociability-solitary","Sociability-sometimes_gregarious","Lifespan","Migration-irregular/single_migration","Migration-non-migratory","Migration-regular","Habitat-demersal","Habitat-epifaunal","Habitat-infaunal","Diet-benthic_organisms","Diet-detritus","Diet-macroalgae","Diet-micro-organisms","Diet-omnivore","Diet-plankton","Diet-sediment_particles","Diet-suspended_particles/material","Reproductive_Frequency-annual","Reproductive_Frequency-biannual","Reproductive_Frequency-semelparous","Larval_Feeding_Strategy-lecithotrophic","Larval_Feeding_Strategy-planktotrophic","Reproductive_Period-episodic","Reproductive_Period-protracted","Developmental_Mechanism-benthic_larval_development","Developmental_Mechanism-direct_development","Developmental_Mechanism-fission","Developmental_Mechanism-larval_development","Developmental_Mechanism-oviparous","Developmental_Mechanism-pelagic_larval_development","Reproductive_Timing-1","Reproductive_Timing-2","Reproductive_Timing-3","Reproductive_Timing-4","Reproductive_Timing-5","Reproductive_Timing-6","Reproductive_Timing-7","Reproductive_Timing-8","Reproductive_Timing-9","Reproductive_Timing-10","Reproductive_Timing-11","Reproductive_Timing-12","Age_at_Maturity.value","Larval_Duration.value","Fecundity.value","Size_of_Eggs.value"
"Abietinaria abietina","Abta",117870,117870,"Abietinaria abietina","Abietinaria","Sertulariidae","Leptothecata","Hydrozoa","Cnidaria",300,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,NA,0,1,0,0,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,1,0,0,0,0,NA,NA,NA,NA
"Abra alba","Abra",141433,141433,"Abra alba","Abra","Semelidae","Veneroida","Bivalvia","Mollusca",2.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,NA,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,1700,60
"Abra nitida","Abrn",141435,141435,"Abra nitida","Abra","Semelidae","Veneroida","Bivalvia","Mollusca",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abra prismatica","Abrp",141436,141436,"Abra prismatica","Abra","Semelidae","Veneroida","Bivalvia","Mollusca",1.3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abra tenuis","Abrt",141439,141439,"Abra tenuis","Abra","Semelidae","Veneroida","Bivalvia","Mollusca",1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,NA,1600,140
"Acanthocardia echinata","Acne",138992,138992,"Acanthocardia echinata","Acanthocardia","Cardiidae","Veneroida","Bivalvia","Mollusca",7.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,15.5,1,1,0,NA,NA,NA,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Actinauge richardi","Actr",100930,100930,"Actinauge richardi","Actinauge","Hormathiidae","Actiniaria","Anthozoa","Cnidaria",15.5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,NA,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adamsia carciniopados","Admc",100931,100931,"Adamsia carciniopados","Adamsia","Hormathiidae","Actiniaria","Anthozoa","Cnidaria",50,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,8,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA
"Alcyonium digitatum","Alcd",125333,125333,"Alcyonium digitatum","Alcyonium","Alcyoniidae","Alcyonacea","Anthozoa","Cnidaria",200,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,NA,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,1,NA,10,1e+05,500
"Ampelisca brevicornis","Ampb",101891,101891,"Ampelisca brevicornis","Ampelisca","Ampeliscidae","Amphipoda","Malacostraca","Arthropoda",1.2,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1.5,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,0,1,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,70,NA
