"","x"
"1",117870
"2",141433
"3",141145
"4",141436
"5",141439
"6",138992
"7",100930
"8",100931
"9",125333
"10",101891
"11",101896
"12",101928
"13",101930
"14",129777
"15",100936
"16",125064
"17",125073
"18",125080
"19",107218
"20",134723
"21",124201
"22",131107
"23",129938
"24",129840
"25",138760
"26",138761
"27",138802
"28",129868
"29",138824
"30",123776
"31",123987
"32",132473
"33",141541
"34",103058
"35",103060
"36",100817
"37",103862
"38",104906
"39",124373
"40",138878
"41",111166
"42",107729
"43",107726
"44",107276
"45",129876
"46",107381
"47",135144
"48",138998
"49",283798
"50",129914
"51",129955
"52",141907
"53",106230
"54",103732
"55",103552
"56",138899
"57",111351
"58",139410
"59",102101
"60",107277
"61",107552
"62",138963
"63",124154
"64",103882
"65",110472
"66",107643
"67",103890
"68",130987
"69",124392
"70",124273
"71",124287
"72",111355
"73",111484
"74",130616
"75",130631
"76",125399
"77",118852
"78",131290
"79",111367
"80",128506
"81",130116
"82",130123
"83",130140
"84",165801
"85",165853
"86",152302
"87",123970
"88",130649
"89",140103
"90",107253
"91",130464
"92",107323
"93",117890
"94",140126
"95",107327
"96",110462
"97",102431
"98",139004
"99",131495
"100",379749
"101",107387
"102",107388
"103",107390
"104",140262
"105",140283
"106",123920
"107",178639
"108",141579
"109",107397
"110",107346
"111",140299
"112",102821
"113",102831
"114",107350
"115",130072
"116",129892
"117",100982
"118",140467
"119",140472
"120",140430
"121",140480
"122",107254
"123",130335
"124",130357
"125",130359
"126",130362
"127",138920
"128",129898
"129",140403
"130",140589
"131",140592
"132",117389
"133",130491
"134",125131
"135",124913
"136",124929
"137",130544
"138",107232
"139",107703
"140",140684
"141",140685
"142",140712
"143",111082
"144",140737
"145",140744
"146",128549
"147",102383
"148",107188
"149",130707
"150",130711
"151",131141
"152",131027
"153",102916
"154",125166
"155",107682
"156",100913
"157",124319
"158",239867
"159",130866
"160",130867
"161",100991
"162",101002
"163",130980
"164",139488
"165",106210
"166",131051
"167",117913
"168",124481
"169",131379
"170",131183
"171",131187
"172",140300
"173",140302
"174",103166
"175",141651
"176",141662
"177",124670
"178",141929
"179",117994
"180",141872
"181",111586
"182",107739
"183",103228
"184",100834
"185",128539
"186",141435
"187",139604
"188",130614
"189",103226
"190",103235
"191",130364
"192",140380
"193",130355
"194",140301
"195",102057
"196",110445
"197",102089
"198",124418
"199",130537
"200",104051
"201",129775
"202",129959
"203",130595
"204",131153
"205",131171
"206",103066
"207",102788
"208",120020
