"","x"
"1","Abietinaria abietina"
"2","Abra alba"
"3","Abra nitida"
"4","Abra prismatica"
"5","Abra tenuis"
"6","Acanthocardia echinata"
"7","Actinauge richardi"
"8","Adamsia carciniopados"
"9","Alcyonium digitatum"
"10","Ampelisca brevicornis"
"11","Ampelisca diadema"
"12","Ampelisca spinipes"
"13","Ampelisca tenuicornis"
"14","Ampharete falcata"
"15","Amphianthus dohrnii"
"16","Amphipholis squamata"
"17","Amphiura chiajei"
"18","Amphiura filiformis"
"19","Anapagurus laevis"
"20","Anoplodactylus petiolatus"
"21","Antedon bifida"
"22","Aonides paucibranchiata"
"23","Aphelochaeta marioni"
"24","Aphrodita aculeata"
"25","Aporrhais pespelecani"
"26","Aporrhais serresianus"
"27","Arctica islandica"
"28","Arenicola marina"
"29","Astarte sulcata"
"30","Asterias rubens"
"31","Asterina gibbosa"
"32","Axinella dissimilis"
"33","Azorinus chamasolen"
"34","Bathyporeia elegans"
"35","Bathyporeia guilliamsoniana"
"36","Bolocera tuediae"
"37","Botryllus schlosseri"
"38","Branchiostoma lanceolatum"
"39","Brissopsis lyrifera"
"40","Buccinum undatum"
"41","Bugula turbinata"
"42","Callianassa subterranea"
"43","Calocaris macandreae"
"44","Cancer pagurus"
"45","Capitella capitata"
"46","Carcinus maenas"
"47","Caryophyllia smithii"
"48","Cerastoderma edule"
"49","Cerianthus lloydii"
"50","Chaetopterus variopedatus"
"51","Chaetozone setosa"
"52","Chamelea gallina"
"53","Chthamalus montagui"
"54","Ciona intestinalis"
"55","Clavelina lepadiformis"
"56","Colus gracilis"
"57","Conopeum reticulum"
"58","Corbula gibba"
"59","Corophium volutator"
"60","Corystes cassivelaunus"
"61","Crangon crangon"
"62","Crepidula fornicata"
"63","Crossaster papposus"
"64","Dendrodoa grossularia"
"65","Diastylis bradyi"
"66","Dichelopandalus bonnieri"
"67","Distomus variolosus"
"68","Ditrupa arietina"
"69","Echinocardium cordatum"
"70","Echinocyamus pusillus"
"71","Echinus esculentus"
"72","Electra pilosa"
"73","Escharella immersa"
"74","Eteone longa"
"75","Eulalia mustela"
"76","Eunicella verrucosa"
"77","Eurydice pulchra"
"78","Eusyllis blomstrandi"
"79","Flustra foliacea"
"80","Funiculina quadrangularis"
"81","Glycera alba"
"82","Glycera lapidum"
