PlantID	host	hostCon	hostAdZ	hostCeZ	X	Y	Height	Length	Width	logsize	Green	Grey	Red	Striped	total	occupied	logtotal	greenpro	C1N	C2N	C10N	C1A	C2A	C10A	q1N	q2N	q10N	q1A	q2A	q10A	C2NA	C2NC	q2NA	q2NC
A1	A	-1	0	1	11.25	15	115	140	90	6.161068385	1	0	0	4	5	1	0.77815125	0.2	0.621	0.68	0.267	0.744	0.973	0.524	0.191	0.253	0.371	0.152	0.243	0.277	0.625	0.055	0.219	0.637
A2	A	-1	0	1	12.5	12.75	130	110	150	6.331427297	6	1	1	19	27	1	1.447158031	0.222222222	0.536	0.529	0.233	0.793	1.006	0.507	0.272	0.293	0.381	0.298	0.284	0.279	0.412	0.117	0.194	0.641
A3	A	-1	0	1	13.5	13.75	120	50	90	5.73239376	0	1	0	4	5	1	0.77815125	0	1.493	1.077	0.282	1.017	1.212	0.533	0.231	0.26	0.367	0.225	0.262	0.28	1.006	0.071	0.236	0.61
A4	A	-1	0	1	15.5	12.75	170	160	120	6.51375015	2	0	0	7	9	1	1	0.222222222	0.6	0.758	0.272	1.122	1.306	0.526	0.234	0.263	0.363	0.163	0.223	0.275	0.69	0.068	0.237	0.527
A5	A	-1	0	1	15.25	15	105	90	90	5.929674318	0	1	0	1	2	1	0.477121255	0	0.927	0.97	0.303	1.497	1.486	0.561	0.25	0.265	0.366	0.265	0.275	0.281	0.93	0.04	0.252	0.575
A6	A	-1	0	1	15	16	105	40	45	5.276461804	0.5	0	0	2	2.5	1	0.544068044	0.2	0.856	0.909	0.308	1.669	1.526	0.573	0.279	0.274	0.369	0.33	0.292	0.28	0.873	0.036	0.261	0.594
A7	A	-1	0	1	14.5	17.75	140	120	170	6.455758203	1	0	0	4	5	1	0.77815125	0.2	0.505	0.692	0.309	1.177	1.356	0.583	0.396	0.329	0.382	0.455	0.336	0.281	0.65	0.042	0.309	0.626
A8	A	-1	0	1	13.25	16	120	130	130	6.307067951	0.5	0	0	2	2.5	1	0.544068044	0.2	0.736	0.832	0.296	1.134	1.289	0.56	0.214	0.258	0.37	0.234	0.266	0.278	0.792	0.04	0.24	0.623
A9	A	-1	0	1	12.5	18.5	170	150	230	6.768268016	2	0	0	1	3	1	0.602059991	0.666666667	0.325	0.544	0.297	0.738	1.157	0.572	0.286	0.301	0.38	0.277	0.262	0.27	0.499	0.045	0.27	0.648
A10	A	-1	0	1	11.75	16	145	40	60	5.541579244	0	0	0	2	2	1	0.477121255	0	0.687	0.719	0.282	0.96	1.117	0.544	0.233	0.271	0.374	0.252	0.275	0.279	0.677	0.042	0.248	0.635
A11	A	-1	0	1	15.5	17	65	75	20	4.989004616	1	0	0	0	1	1	0.301029996	1	1.002	0.915	0.318	1.77	1.539	0.584	0.298	0.277	0.37	0.3	0.264	0.272	0.877	0.038	0.263	0.599
A12	A	-1	0	1	16.25	17	130	80	70	5.862131379	2	0	0	1	3	1	0.602059991	0.666666667	0.808	0.866	0.317	1.591	1.495	0.582	0.249	0.257	0.368	0.356	0.286	0.276	0.827	0.039	0.242	0.584
A13	A	-1	0	1	17	18	125	150	130	6.386944624	0	0	0	3	3	1	0.602059991	0	0.621	0.797	0.323	1.054	1.318	0.585	0.356	0.319	0.383	0.463	0.351	0.288	0.744	0.053	0.3	0.581
A14	A	-1	0	1	18.75	16.5	150	150	180	6.607455023	0	0	0	9	9	1	1	0	0.605	0.748	0.306	1.136	1.31	0.562	0.332	0.315	0.385	0.329	0.302	0.286	0.708	0.041	0.303	0.523
A15	A	-1	0	1	19.75	15.75	120	140	170	6.455758203	0.5	0	0	1	1.5	1	0.397940009	0.333333333	1.016	0.888	0.307	1.268	1.273	0.545	0.177	0.235	0.368	0.226	0.245	0.28	0.851	0.037	0.224	0.505
A16	A	-1	0	1	20	14.75	150	120	110	6.29666519	0.5	0	0	1	1.5	1	0.397940009	0.333333333	1.098	0.854	0.296	1.387	1.284	0.531	0.217	0.244	0.365	0.232	0.232	0.278	0.822	0.032	0.234	0.491
A17	A	-1	0	1	20	13.75	180	140	150	6.5774918	2	0	0	8	10	1	1.041392685	0.2	0.429	0.55	0.272	1.236	1.239	0.516	0.284	0.277	0.372	0.235	0.228	0.278	0.52	0.03	0.266	0.472
A18	A	-1	0	1	21.5	11.75	100	90	80	5.857332496	0	0	0	0	0	0	0	0	0.259	0.413	0.251	0.65	0.878	0.462	0.195	0.259	0.364	0.107	0.196	0.279	0.378	0.035	0.246	0.409
A19	A	-1	0	1	21.5	13	90	80	80	5.760422483	0	0	0	1	1	1	0.301029996	0	0.43	0.518	0.266	0.838	0.981	0.484	0.225	0.262	0.367	0.151	0.211	0.28	0.482	0.036	0.249	0.444
